Timestamp,Facility,Region,Energy_Consumption_kWh,CO2_Emissions_kg,Water_Usage_Liters,Waste_Generated_kg,Renewable_Energy_Percentage,Recycled_Waste_Percentage,Supplier,Fleet_EV_Percentage,Heat_Generation_MWh,Electricity_Generation_MWh,Sustainability_Score
09/10/2023,ABB Vaasa Factory,East,4090.89,1460.53,24616.47,576.89,82.49,88.96,KWH Logistics,78.7,426.0,791.85,83.3
09/11/2023,Wartsila Smart Technology Hub,South,1265.24,2631.1,30820.12,142.96,94.01,85.72,KWH Logistics,85.84,182.24,773.51,89.07
09/12/2023,Vaskiluoto Power Plant,West,3576.68,1996.42,37119.79,440.32,89.64,81.19,Ahola Transport,92.46,265.88,784.79,87.95
09/13/2023,Vaasa Logistics Center,North,1610.65,881.0,25686.44,897.37,86.97,91.28,LEKO Logistics,89.64,434.19,153.09,89.07
09/14/2023,ABB Vaasa Factory,East,4944.56,1260.21,22869.46,739.89,78.12,88.69,LEKO Logistics,91.13,333.38,726.58,85.2
09/15/2023,Wartsila Smart Technology Hub,East,5043.79,849.73,47172.55,817.05,78.12,78.25,Wasaline,88.18,327.61,554.41,81.18
09/16/2023,Wartsila Smart Technology Hub,East,1839.04,946.15,29514.89,956.14,76.16,93.22,Wasaline,88.85,464.12,240.23,85.08
09/17/2023,Kivihaka Distribution Center,East,1323.23,2132.14,33895.12,1058.3,92.32,91.45,Wasaline,91.98,311.29,556.99,91.96
09/18/2023,Vaasa Logistics Center,North,684.75,1922.25,31610.63,166.55,87.02,94.0,Wasaline,79.99,274.16,806.42,87.01
09/19/2023,Wartsila Smart Technology Hub,West,2369.05,1058.03,22896.24,946.99,89.16,89.51,KWH Logistics,84.79,402.16,294.56,87.96
09/20/2023,Vaasa Logistics Center,West,5844.24,2505.91,37459.63,138.22,75.41,87.27,Wasaline,79.42,119.88,789.98,80.17
09/21/2023,Kivihaka Distribution Center,South,2237.73,851.77,8599.33,682.49,94.4,83.36,Wasaline,94.75,200.79,530.95,91.19
09/22/2023,Wartsila Smart Technology Hub,North,5558.13,1027.78,24030.72,1203.39,91.65,93.65,Wasaline,93.88,302.54,477.81,92.92
09/23/2023,Wartsila Smart Technology Hub,North,2273.91,1955.22,26445.89,381.88,79.25,92.32,Oy EL-Ho Oy,75.79,421.59,949.92,82.13
09/24/2023,Vaasa Logistics Center,East,1163.6,2151.52,15943.58,543.96,78.64,75.9,KWH Logistics,89.11,429.04,626.1,80.96
09/25/2023,Wartsila Smart Technology Hub,North,2298.44,687.91,33763.77,416.26,78.67,75.53,Wasaline,93.5,68.87,428.72,82.18
09/26/2023,Vaasa Logistics Center,North,5347.9,2517.43,22307.38,1122.85,81.08,82.53,LEKO Logistics,78.61,91.86,508.31,80.78
09/27/2023,Wartsila Smart Technology Hub,East,5185.48,3065.1,9511.95,300.7,85.5,91.21,KWH Logistics,86.36,393.6,183.43,87.47
09/28/2023,Kivihaka Distribution Center,North,3666.27,989.67,21880.26,139.61,83.64,94.75,Wasaline,93.31,168.06,752.6,89.87
09/29/2023,ABB Vaasa Factory,North,2721.56,354.95,54087.51,994.01,80.82,78.01,Oy EL-Ho Oy,75.68,471.75,561.9,78.44
09/30/2023,Kivihaka Distribution Center,West,3287.23,1447.36,26408.92,207.81,87.24,86.88,KWH Logistics,88.95,261.56,462.67,87.64
10/01/2023,Kivihaka Distribution Center,North,3184.68,2590.18,22971.25,891.95,77.79,82.62,Ahola Transport,80.95,292.65,952.68,80.19
10/02/2023,Wartsila Smart Technology Hub,North,4753.14,2374.97,27002.6,475.61,80.84,94.4,Wasaline,93.49,451.48,485.18,88.7
10/03/2023,Vaasa Logistics Center,West,2203.75,1112.31,41908.95,834.43,82.33,91.84,Oy EL-Ho Oy,94.42,89.02,704.05,88.81
10/04/2023,Vaasa Logistics Center,North,1544.13,802.87,23226.33,649.81,84.12,91.77,Wasaline,93.89,301.09,315.16,89.34
10/05/2023,Vaskiluoto Power Plant,North,1582.24,437.57,38728.41,694.65,90.7,84.37,KWH Logistics,84.48,470.21,280.42,86.94
10/06/2023,ABB Vaasa Factory,East,1392.3,1524.86,25363.51,327.05,78.99,83.3,Wasaline,92.24,136.71,915.21,84.26
10/07/2023,Vaskiluoto Power Plant,East,2013.35,440.12,37752.8,319.05,85.28,80.47,Wasaline,91.89,227.44,333.29,85.82
10/08/2023,Vaskiluoto Power Plant,East,3985.76,1292.29,52525.53,512.44,86.85,76.13,Wasaline,81.38,147.81,525.21,81.99
10/09/2023,Wartsila Smart Technology Hub,North,1560.89,2096.63,44965.98,734.38,75.93,92.29,Wasaline,91.58,305.88,696.23,85.53
10/10/2023,Wartsila Smart Technology Hub,South,1357.2,393.49,35482.16,999.03,87.15,91.26,Ahola Transport,75.74,329.03,288.23,84.96
