Timestamp,Facility,Region,Energy_Consumption_kWh,CO2_Emissions_kg,Water_Usage_Liters,Waste_Generated_kg,Renewable_Energy_Percentage,Recycled_Waste_Percentage,Supplier,Fleet_EV_Percentage,Heat_Generation_MWh,Electricity_Generation_MWh
09/10/2023,ABB Vaasa Factory,East,8119.81,2898.93,48860.0,1145.05,27.53,24.12,KWH Logistics,21.58,426.0,791.85
09/11/2023,Wartsila Smart Technology Hub,South,2551.73,5306.38,62157.85,288.33,14.75,26.47,KWH Logistics,17.44,182.24,773.51
09/12/2023,Vaskiluoto Power Plant,West,8828.5,4927.88,91624.75,1086.87,11.53,43.94,Ahola Transport,7.4,265.88,784.79
09/13/2023,Vaasa Logistics Center,North,3439.73,1881.47,54856.31,1916.43,9.8,40.95,LEKO Logistics,37.24,434.19,153.09
09/14/2023,ABB Vaasa Factory,East,10386.87,2647.28,48041.13,1554.26,20.99,16.32,LEKO Logistics,21.68,333.38,726.58
09/15/2023,Wartsila Smart Technology Hub,East,10513.05,1771.14,98324.38,1703.02,6.17,40.14,Wasaline,16.12,327.61,554.41
09/16/2023,Wartsila Smart Technology Hub,East,3563.79,1833.51,57195.57,1852.87,7.59,47.59,Wasaline,12.48,464.12,240.23
09/17/2023,Kivihaka Distribution Center,East,2611.36,4207.72,66891.16,2088.52,34.48,13.58,Wasaline,6.94,311.29,556.99
09/18/2023,Vaasa Logistics Center,North,1312.83,3685.43,60605.4,319.32,33.9,48.81,Wasaline,27.31,274.16,806.42
09/19/2023,Wartsila Smart Technology Hub,West,4284.17,1913.34,41405.44,1712.53,17.53,26.73,KWH Logistics,8.15,402.16,294.56
09/20/2023,Vaasa Logistics Center,West,10387.96,4454.19,66583.39,245.68,41.6,37.99,Wasaline,9.27,119.88,789.98
09/21/2023,Kivihaka Distribution Center,South,4116.31,1566.84,15818.5,1255.45,22.08,8.41,Wasaline,23.99,200.79,530.95
09/22/2023,Wartsila Smart Technology Hub,North,9402.96,1738.75,40653.91,2035.83,10.06,14.67,Wasaline,33.99,302.54,477.81
09/23/2023,Wartsila Smart Technology Hub,North,5633.41,4843.9,65517.46,946.08,6.92,26.69,Oy EL-Ho Oy,8.9,421.59,949.92
09/24/2023,Vaasa Logistics Center,East,2649.64,4899.23,36305.08,1238.65,44.43,46.76,KWH Logistics,15.9,429.04,626.1
09/25/2023,Wartsila Smart Technology Hub,North,5724.46,1713.3,84091.45,1036.73,4.55,28.12,Wasaline,5.36,68.87,428.72
09/26/2023,Vaasa Logistics Center,North,10100.0,4754.4,42129.55,2120.61,4.19,2.18,LEKO Logistics,9.77,91.86,508.31
09/27/2023,Wartsila Smart Technology Hub,East,8946.55,5288.24,16411.06,518.8,48.87,14.34,KWH Logistics,38.34,393.6,183.43
09/28/2023,Kivihaka Distribution Center,North,8170.94,2205.65,48764.06,311.15,12.11,16.9,Wasaline,30.72,168.06,752.6
09/29/2023,ABB Vaasa Factory,North,4649.0,606.33,92393.02,1697.98,6.96,48.41,Oy EL-Ho Oy,21.73,471.75,561.9
09/30/2023,Kivihaka Distribution Center,West,7977.67,3512.56,64091.01,504.32,9.29,3.52,KWH Logistics,22.47,261.56,462.67
10/01/2023,Kivihaka Distribution Center,North,5426.4,4413.42,39140.82,1519.79,0.67,20.22,Ahola Transport,21.71,292.65,952.68
10/02/2023,Wartsila Smart Technology Hub,North,10106.08,5049.65,57412.7,1011.24,16.53,23.79,Wasaline,20.43,451.48,485.18
10/03/2023,Vaasa Logistics Center,West,5243.47,2646.57,99715.76,1985.4,18.06,16.1,Oy EL-Ho Oy,12.11,89.02,704.05
10/04/2023,Vaasa Logistics Center,North,3105.81,1614.87,46716.66,1307.01,10.45,33.57,Wasaline,38.66,301.09,315.16
10/05/2023,Vaskiluoto Power Plant,North,3505.54,969.46,85804.71,1539.04,44.89,41.19,KWH Logistics,5.4,470.21,280.42
10/06/2023,ABB Vaasa Factory,East,3046.78,3336.87,55503.12,715.69,43.52,32.27,Wasaline,4.07,136.71,915.21
10/07/2023,Vaskiluoto Power Plant,East,4363.01,953.76,81812.0,691.39,8.89,44.81,Wasaline,35.12,227.44,333.29
10/08/2023,Vaskiluoto Power Plant,East,7109.74,2305.17,93694.33,914.08,20.78,30.97,Wasaline,28.53,147.81,525.21
10/09/2023,Wartsila Smart Technology Hub,North,3073.63,4128.59,88544.95,1446.1,13.61,2.73,Wasaline,38.97,305.88,696.23
10/10/2023,Wartsila Smart Technology Hub,South,2936.0,851.23,76757.77,2161.17,25.56,30.42,Ahola Transport,22.69,329.03,288.23
10/11/2023,Kivihaka Distribution Center,South,5874.81,3818.99,55296.57,1600.04,48.58,45.38,Oy EL-Ho Oy,13.69,109.06,119.72
10/12/2023,Wartsila Smart Technology Hub,South,7823.64,1131.79,69512.0,1010.8,19.99,1.27,Ahola Transport,32.65,104.38,290.42
10/13/2023,Vaasa Logistics Center,West,6268.09,4468.12,44554.5,1377.26,0.67,4.06,KWH Logistics,5.09,209.3,413.17
10/14/2023,Wartsila Smart Technology Hub,East,6411.54,2908.66,35776.92,1427.84,6.63,20.11,Ahola Transport,35.83,152.57,860.04
10/15/2023,Vaskiluoto Power Plant,East,3911.89,2395.12,31383.49,997.81,17.03,19.04,KWH Logistics,7.55,284.45,113.01
10/16/2023,Vaskiluoto Power Plant,West,10313.07,2009.44,58932.14,1944.44,18.5,0.26,KWH Logistics,1.44,158.29,288.71
